0.25 3.3539256425613504e-08 [9] [9] "[ True]"
  True  True False  True  True  True  True  True]"
5.0 0.0015016239160231572 "[9 7 9 6 9 9 5 6 9 7 8 8 8 7 7 3 8 2 8 9 6]" "[9 7 9 6 9 9 5 6 9 7 8 8 8 7 7 5 8 2 8 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False  True  True  True  True  True]"
5.25 0.001574120395165911 "[9 7 9 6 9 9 5 6 9 7 8 8 8 7 7 3 8 8 2 8 9 6]" "[9 7 9 6 9 9 5 6 9 7 8 8 8 7 7 5 8 8 2 8 9 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False  True  True  True  True  True  True]"
5.5 0.0015812220269153807 "[9 7 9 6 9 9 5 6 9 7 8 8 8 7 7 3 8 8 2 8 9 6 6]" "[9 7 9 6 9 9 5 6 9 7 8 8 8 7 7 5 8 8 2 8 9 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False  True  True  True  True  True  True  True]"
5.75 0.0025334011277583285 "[9 7 9 6 9 9 9 5 6 9 7 8 8 8 7 7 3 8 8 2 8 9 6 6]" "[9 7 9 6 9 9 9 5 6 9 7 8 8 8 7 7 5 8 8 2 8 9 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True  True  True  True  True  True]"
6.0 0.0026253116886195763 "[9 7 9 8 6 9 9 9 5 6 9 7 8 8 8 7 7 3 8 8 2 8 9 6 6]" "[9 7 9 8 6 9 9 9 5 6 9 7 8 8 8 7 7 5 8 8 2 8 9 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True False  True  True  True  True  True  True
  True]"
6.25 0.0027332820602128252 "[9 5 7 9 8 6 9 9 9 5 6 9 7 8 8 8 7 7 3 8 8 2 8 9 6 6]" "[9 5 7 9 8 6 9 9 9 5 6 9 7 8 8 8 7 7 5 8 8 2 8 9 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True False  True  True  True  True  True
  True  True]"
6.5 0.002993547962858936 "[9 5 7 9 8 6 9 4 9 9 5 6 9 7 8 8 8 7 7 3 8 8 2 8 9 6 6]" "[9 5 7 9 8 6 9 4 9 9 5 6 9 7 8 8 8 7 7 5 8 8 2 8 9 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True False  True  True  True  True
  True  True  True]"
6.5 0.0032978893338943363 "[9 5 7 9 8 6 9 4 9 9 5 6 9 7 8 8 8 7 7 3 8 8 2 8 9 4 6 6]" "[9 5 7 9 8 6 9 4 9 9 5 6 9 7 8 8 8 7 7 5 8 8 2 8 9 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True False  True  True  True  True
  True False  True  True]"
6.75 0.003757889546899114 "[9 5 7 9 8 6 9 4 9 9 5 6 9 7 8 3 8 8 7 7 3 8 8 2 8 9 4 6 6]" "[9 5 7 9 8 6 9 4 9 9 5 6 9 7 8 3 8 8 7 7 5 8 8 2 8 9 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True False  True  True  True
  True  True False  True  True]"
7.0 0.0038916076227824767 "[9 5 7 9 8 6 9 4 9 9 5 6 9 7 8 3 8 8 7 7 3 8 8 2 8 1 9 4 6 6]" "[9 5 7 9 8 6 9 4 9 9 5 6 9 7 8 3 8 8 7 7 5 8 8 2 8 1 9 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True False  True  True  True
  True  True  True False  True  True]"
7.25 0.004313593476657737 "[9 5 7 9 8 6 9 5 4 9 9 5 6 9 7 8 3 8 8 7 7 3 8 8 2 8 1 9 4 6 6]" "[9 5 7 9 8 6 9 5 4 9 9 5 6 9 7 8 3 8 8 7 7 5 8 8 2 8 1 9 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True False  True  True
  True  True  True  True False  True  True]"
7.5 0.005941515188904631 "[9 5 7 9 8 6 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 3 8 8 2 8 1 9 4 6 6]" "[9 5 7 9 8 6 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 5 8 8 2 8 1 9 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True False  True
  True  True  True  True  True False  True  True]"
7.75 0.006363888731717343 "[9 5 7 9 8 6 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 3 8 8 2 8 1 9 6 4 6 6]" "[9 5 7 9 8 6 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 5 8 8 2 8 1 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True False  True
  True  True  True  True  True  True False  True  True]"
8.0 0.010300220967992246 "[6 9 5 7 9 8 6 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 3 8 8 2 8 1 9 6 4 6 6]" "[6 9 5 7 9 8 6 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 5 8 8 2 8 1 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True False
  True  True  True  True  True  True  True False  True  True]"
8.25 0.012612569141810416 "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 3 8 8 2 8 1 9 6 4 6 6]" "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 5 8 8 2 8 1 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
 False  True  True  True  True  True  True  True False  True  True]"
8.5 0.013396079391613223 "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 3 6 8 8 2 8 1 9 6 4 6 6]" "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 6 9 7 8 3 8 8 7 7 5 6 8 8 2 8 1 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
 False  True  True  True  True  True  True  True  True False  True  True]"
8.75 0.01402347411677457 "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 9 7 8 3 8 8 7 7 3 6 8 8 2 8 1 9 6 4 6 6]" "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 9 7 8 3 8 8 7 7 5 6 8 8 2 8 1 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True  True  True  True False  True
  True]"
9.0 0.01831785179155505 "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 8 3 8 8 7 7 3 6 8 8 2 8 1 9 6 4 6
 6]" "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 8 3 8 8 7 7 5 6 8 8 2 8 1 9 6 7 6
 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True False  True  True  True  True  True  True  True  True False
  True  True]"
9.25 0.019551517421544394 "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 8 8 2 8 1 9 6 4
 6 6]" "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 8 8 2 8 1 9 6 7
 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False  True  True  True  True  True  True  True  True
 False  True  True]"
9.5 0.019780411264836165 "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 8 8 2 8 1 1 9 6
 4 6 6]" "[6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 8 8 2 8 1 1 9 6
 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True False  True  True  True  True  True  True  True  True
  True False  True  True]"
9.75 0.02574753698232482 "[8 6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 8 8 2 8 1 1 9
 6 4 6 6]" "[8 6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 8 8 2 8 1 1 9
 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True  True  True  True  True  True
  True  True False  True  True]"
10.0 0.02620288171149425 "[8 6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 8 8 2 8 1 1
 9 6 4 6 6]" "[8 6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 8 8 2 8 1 1
 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True  True  True  True  True  True
  True  True  True False  True  True]"
10.0 0.02730921568331556 "[8 6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7 8 8 2 8 1
 1 9 6 4 6 6]" "[8 6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9 8 8 2 8 1
 1 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True False  True  True False  True  True  True  True
  True  True  True  True False  True  True]"
10.25 0.02854453329516289 "[3 8 6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7 8 8 2 8
 1 1 9 6 4 6 6]" "[3 8 6 9 5 7 9 8 6 9 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9 8 8 2 8
 1 1 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True False  True  True False  True  True  True
  True  True  True  True  True False  True  True]"
10.25 0.030125391186265314 "[3 8 6 9 5 7 9 8 6 9 5 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7 8 8 2
 8 1 1 9 6 4 6 6]" "[3 8 6 9 5 7 9 8 6 9 4 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9 8 8 2
 8 1 1 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True False  True  True False  True  True
  True  True  True  True  True  True False  True  True]"
10.5 0.032120541547539246 "[3 8 6 9 5 7 9 5 8 6 9 5 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7 8 8
 2 8 1 1 9 6 4 6 6]" "[3 8 6 9 5 7 9 5 8 6 9 4 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9 8 8
 2 8 1 1 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True False
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True False  True  True False  True
  True  True  True  True  True  True  True False  True  True]"
10.5 0.04058552637372008 "[3 8 6 9 5 7 9 5 8 6 9 5 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7 8 8
 2 8 1 1 5 9 6 4 6 6]" "[3 8 6 9 5 7 9 5 8 6 9 4 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9 8 8
 2 8 1 1 7 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True False
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True False  True  True False  True
  True  True  True  True  True False  True  True False  True  True]"
10.75 0.050495130055713745 "[3 8 6 9 5 7 9 5 8 6 9 5 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7 2 8
 8 2 8 1 1 5 9 6 4 6 6]" "[3 8 6 9 5 7 9 5 8 6 9 4 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9 2 8
 8 2 8 1 1 7 9 6 7 6 6]" "[ True  True  True  True  True  True  True  True  True  True  True False
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True False  True  True False  True
  True  True  True  True  True  True False  True  True False  True  True]"
10.75 0.07517446590080547 "[3 8 6 1 9 5 7 9 5 8 6 9 5 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7 2
 8 8 2 8 1 1 5 9 6 4 6 6]" "[3 8 6 3 9 5 7 9 5 8 6 9 4 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9 2
 8 8 2 8 1 1 7 9 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True  True
 False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True False  True  True False
  True  True  True  True  True  True  True False  True  True False  True
  True]"
10.75 0.09422728751879829 "[3 8 6 1 9 5 7 9 5 8 6 0 9 5 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7
 2 8 8 2 8 1 1 5 9 6 4 6 6]" "[3 8 6 3 9 5 7 9 5 8 6 2 9 4 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9
 2 8 8 2 8 1 1 7 9 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True False
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True False  True  True
 False  True  True  True  True  True  True  True False  True  True False
  True  True]"
11.0 0.14016955286883598 "[3 8 6 1 9 5 7 9 5 8 6 0 9 5 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7
 2 8 8 2 8 1 1 5 9 8 6 4 6 6]" "[3 8 6 3 9 5 7 9 5 8 6 2 9 4 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9
 2 8 8 2 8 1 1 7 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True False
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True False  True  True
 False  True  True  True  True  True  True  True False  True  True  True
 False  True  True]"
11.25 0.153486107634946 "[3 8 6 1 9 5 7 9 5 8 6 0 9 5 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2 7
 2 8 8 2 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 9 5 7 9 5 8 6 2 9 4 9 6 5 4 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2 9
 2 8 8 2 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True False
  True False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True False  True  True
 False  True  True  True  True  True  True  True False  True  True  True
  True False  True  True]"
11.25 0.1637951806498798 "[3 8 6 1 9 5 7 9 5 8 6 0 9 5 9 6 5 4 9 1 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6 2
 7 2 8 8 2 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 9 5 7 9 5 8 6 2 9 4 9 6 5 4 9 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6 2
 9 2 8 8 2 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True False
  True False  True  True  True  True  True False  True  True  True  True
  True  True  True  True  True  True  True  True  True  True False  True
  True False  True  True  True  True  True  True  True False  True  True
  True  True False  True  True]"
11.5 0.1933365237385357 "[3 8 6 1 9 5 7 9 5 8 6 0 9 5 4 9 6 5 4 9 1 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3 6
 2 7 2 8 8 2 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 9 5 7 9 5 8 6 2 9 4 4 9 6 5 4 9 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5 6
 2 9 2 8 8 2 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True False
  True False  True  True  True  True  True  True False  True  True  True
  True  True  True  True  True  True  True  True  True  True  True False
  True  True False  True  True  True  True  True  True  True False  True
  True  True  True False  True  True]"
11.5 0.21496619419871935 "[3 8 6 1 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 7 9 8 3 8 8 7 7 3
 6 2 7 2 8 8 2 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 7 9 8 3 8 8 7 7 5
 6 2 9 2 8 8 2 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True False
  True False  True False  True  True  True  True  True False  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
 False  True  True False  True  True  True  True  True  True  True False
  True  True  True  True False  True  True]"
11.75 0.23350930295755712 "[3 8 6 1 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3 8 8 7 7
 3 6 2 7 2 8 8 2 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3 8 8 7 7
 5 6 2 9 2 8 8 2 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True False
  True False  True False  True  True  True  True  True False  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True False  True  True  True  True  True  True  True
 False  True  True  True  True False  True  True]"
12.0 0.2609080073875133 "[3 8 6 1 1 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 7 3 6 2 7 2 8 8 2 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 1 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 7 5 6 2 9 2 8 8 2 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True  True
 False  True False  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True False  True  True False  True  True  True  True  True  True
  True False  True  True  True  True False  True  True]"
12.25 0.2719780995248099 "[3 8 6 1 1 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 7 3 6 2 7 2 8 8 2 3 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 1 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 7 5 6 2 9 2 8 8 2 3 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True  True
 False  True False  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True False  True  True False  True  True  True  True  True  True
  True  True False  True  True  True  True False  True  True]"
12.5 0.3134259774513851 "[3 8 6 1 1 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 7 3 6 2 7 2 8 8 2 3 8 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 1 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 7 5 6 2 9 2 8 8 2 3 8 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True  True
 False  True False  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True False  True  True False  True  True  True  True  True  True
  True  True  True False  True  True  True  True False  True  True]"
12.5 0.3231501080327922 "[3 8 6 1 1 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 7 7 3 6 2 7 2 8 8 2 3 8 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 1 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 5 7 5 6 2 9 2 8 8 2 3 8 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True  True
 False  True False  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False  True False  True  True False  True  True  True  True  True
  True  True  True  True False  True  True  True  True False  True  True]"
12.75 0.33222890890422957 "[3 8 6 1 1 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 7 7 3 6 1 2 7 2 8 8 2 3 8 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 1 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3 8 8 7
 5 7 5 6 1 2 9 2 8 8 2 3 8 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True  True  True  True  True  True  True  True
 False  True False  True False  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False  True False  True  True  True False  True  True  True  True
  True  True  True  True  True False  True  True  True  True False  True
  True]"
12.75 0.33394912716766384 "[3 8 6 1 1 0 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3 8 8
 7 7 7 3 6 1 2 7 2 8 8 2 3 8 8 1 1 5 8 9 8 6 4 6 6]" "[3 8 6 3 1 3 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3 8 8
 7 5 7 5 6 1 2 9 2 8 8 2 3 8 8 1 1 7 8 9 8 6 7 6 6]" "[ True  True  True False  True False  True  True  True  True  True  True
  True False  True False  True False  True  True  True  True  True False
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True False  True False  True  True  True False  True  True  True
  True  True  True  True  True  True False  True  True  True  True False
  True  True]"
13.0 0.3449128263355952 "[3 8 6 1 1 0 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3 8 8
 7 7 7 3 6 1 2 7 2 8 8 2 3 8 8 1 1 5 2 8 9 8 6 4 6 6]" "[3 8 6 3 1 3 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3 8 8
 7 5 7 5 6 1 2 9 2 8 8 2 3 8 8 1 1 7 2 8 9 8 6 7 6 6]" "[ True  True  True False  True False  True  True  True  True  True  True
  True False  True False  True False  True  True  True  True  True False
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True False  True False  True  True  True False  True  True  True
  True  True  True  True  True  True False  True  True  True  True  True
 False  True  True]"
13.25 0.38388943428258904 "[3 8 6 1 3 1 0 9 5 7 9 5 8 6 0 9 5 4 0 9 6 5 4 9 1 9 5 4 6 6 9 3 7 9 8 3 8
 8 7 7 7 3 6 1 2 7 2 8 8 2 3 8 8 1 1 5 2 8 9 8 6 4 6 6]" "[3 8 6 3 3 1 3 9 5 7 9 5 8 6 2 9 4 4 4 9 6 5 4 9 9 9 5 4 6 6 9 3 7 9 8 3 8
 8 7 5 7 5 6 1 2 9 2 8 8 2 3 8 8 1 1 7 2 8 9 8 6 7 6 6]" "[ True  True  True False  True  True False  True  True  True  True  True
