Prediction _compress,Labels,Entropy,Binary_Labels
8,0,0.421730621,0
3,3,1.854425188,1
8,8,0.092315466,1
6,6,0.471899357,1
4,4,1.918364563,1
6,6,0.030599288,1
6,6,0.010401182,1
2,0,1.639294899,0
2,0,1.082247295,0
7,7,1.211561937,1
4,4,0.980836453,1
6,5,1.505597763,0
6,6,0.081014797,1
3,3,0.156280213,1
1,1,0.001048227,1
1,1,0.000457884,1
6,3,2.207748928,0
6,6,0.01582012,1
8,8,0.138897742,1
7,7,0.567267644,1
4,4,1.258417811,1
0,0,0.244838806,1
2,6,0.315224954,0
2,2,0.586531995,1
1,1,0.004825194,1
3,3,0.895719479,1
0,0,1.602853919,1
4,4,2.28692155,1
6,2,1.936884031,0
7,7,0.82114862,1
8,8,0.097816301,1
3,3,1.085667433,1
1,1,0.00045541,1
2,2,0.881670302,1
8,8,0.087550985,1
1,0,1.204231173,0
8,8,0.076382206,1
3,3,0.551266526,1
3,5,2.317851409,0
2,2,0.565323951,1
2,4,1.128927159,0
1,1,7.49E-05,1
8,8,0.034920696,1
9,9,0.008008,1
0,1,1.874931852,0
2,2,1.233708451,1
9,9,0.001899931,1
7,7,1.026760671,1
6,2,0.698008028,0
0,9,1.748314075,0
6,6,0.57491459,1
5,5,0.156636897,1
6,6,0.054707611,1
3,3,1.573799552,1
8,8,0.017382909,1
3,7,2.216551676,0
6,6,0.173199483,1
5,2,1.755818708,0
5,5,2.077691618,1
2,2,1.213361828,1
8,8,0.929259005,1
9,9,0.14600994,1
6,6,0.520989408,1
0,0,0.437761967,1
2,0,1.267889143,0
6,5,1.669645341,0
2,2,0.705645769,1
9,9,0.003188017,1
3,5,1.442536889,0
4,4,0.484444605,1
2,2,0.257566019,1
1,1,0.000741766,1
6,6,1.488792271,1
6,6,0.385042143,1
2,8,1.470885537,0
2,4,1.044189102,0
8,8,0.48467358,1
6,4,1.420560432,0
5,5,0.729196162,1
0,0,0.446853755,1
9,9,0.003474934,1
9,9,0.649814041,1
9,9,0.03155854,1
8,8,0.890348359,1
9,9,0.048018056,1
9,9,0.001352852,1
3,3,0.420411036,1
7,7,0.042722383,1
3,5,1.438499019,0
0,0,0.08556879,1
9,0,1.936654135,0
3,5,1.538765335,0
2,2,1.008433303,1
6,2,1.393476327,0
0,3,1.222168403,0
8,8,0.021019125,1
6,6,0.137476481,1
3,3,1.11433483,1
2,4,1.39868872,0
0,0,0.148423471,1
6,5,1.685329063,0
8,8,0.157829496,1
0,0,1.583856512,1
1,1,0.038934645,1
7,7,0.810175599,1
2,2,1.600672399,1
8,8,0.069857906,1
8,8,0.168876077,1
7,7,1.720284304,1
8,8,0.027828085,1
5,5,1.267715389,1
1,1,1.511921319,1
8,8,0.015763035,1
7,7,0.56698101,1
1,1,0.017050302,1
3,3,0.54820198,1
0,0,0.585285232,1
6,5,2.079961787,0
7,7,0.000165894,1
9,9,0.00175734,1
3,7,2.101886651,0
4,4,1.722573729,1
5,5,1.45881421,1
9,9,0.446450144,1
8,8,0.580755379,1
0,0,1.033766524,1
7,7,0.056600814,1
9,9,0.338041991,1
8,8,0.311439991,1
2,2,0.331359451,1
7,7,1.161008193,1
3,6,1.667541181,0
9,9,1.82E-07,1
4,4,2.157857886,1
3,3,1.739238447,1
9,9,0.190518787,1
0,6,2.337172093,0
6,4,2.0750739,0
3,7,1.596388862,0
6,6,2.195720273,1
5,5,0.537654629,1
1,1,0.00095823,1
5,5,1.331048973,1
8,8,0.050515941,1
8,8,0.088050515,1
0,0,0.002283325,1
4,4,0.722237277,1
0,0,2.212090535,1
5,5,1.216269157,1
5,5,1.89869466,1
1,1,1.31E-07,1
1,1,0.085735484,1
8,8,1.130738224,1
9,9,0.001372058,1
0,0,0.0967292,1
0,3,1.730981884,0
1,1,0.004618337,1
8,9,1.48208882,0
2,2,0.847774513,1
2,2,2.139024327,1
5,5,1.047087937,1
3,3,0.9444311,1
9,9,0.000187077,1
1,9,2.1805458,0
2,4,1.187531464,0
8,0,1.228682224,0
3,3,1.020717896,1
0,0,0.061697519,1
8,0,0.743198638,0
9,9,0.981081676,1
8,8,1.524284937,1
1,1,0.086555077,1
3,5,1.468143072,0
3,7,1.258107798,0
0,0,1.183845142,1
8,8,1.271276236,1
8,2,1.97600233,0
4,4,0.243911129,1
7,7,0.029509506,1
0,0,1.916483671,1
5,2,2.061677723,0
6,3,1.73687702,0
6,6,0.054132665,1
3,3,0.561989491,1
8,8,0.019260362,1
5,5,1.230901929,1
0,0,0.106496488,1
1,3,2.378325351,0
4,4,1.476042258,1
3,3,1.403846699,1
9,9,0.195273183,1
1,0,0.312615807,0
6,6,0.725256988,1
1,1,0.008325986,1
0,0,0.390067526,1
9,9,0.00019774,1
1,1,0.003891741,1
8,0,0.287356087,0
7,7,0.419623303,1
9,9,0.416094268,1
1,1,0.000140512,1
2,2,0.106433709,1
6,6,0.055133907,1
1,9,0.196720684,0
3,3,0.739665312,1
4,4,0.648475314,1
6,6,0.004096828,1
0,0,0.015840181,1
0,0,0.242840839,1
6,6,0.040242611,1
6,6,0.043240652,1
6,6,0.049956925,1
5,3,1.718025327,0
2,2,1.766010434,1
6,6,0.118219641,1
1,1,0.003434216,1
9,8,1.577196761,0
2,2,0.251237119,1
9,1,0.726582209,0
2,6,1.250888472,0
8,8,0.957658103,1
6,6,0.000830877,1
0,8,1.0934971,0
0,0,1.976890013,1
5,4,1.467262923,0
0,0,0.461534735,1
2,7,2.020437832,0
7,7,1.562754632,1
3,5,1.381109571,0
5,5,1.005958867,1
3,3,0.761646219,1
3,5,0.652533989,0
2,2,0.572692854,1
3,3,1.799219235,1
7,4,1.425632574,0
1,1,0.865340173,1
7,7,0.174954229,1
5,5,0.379237678,1
2,4,1.385090233,0
6,6,0.009312952,1
1,1,0.000833995,1
9,9,0.682773062,1
6,3,1.063947243,0
6,6,0.006220769,1
6,6,0.004238473,1
1,9,0.980358813,0
3,3,0.715075378,1
8,8,0.017381886,1
0,0,0.407044107,1
0,7,1.959316043,0
2,2,1.157813674,1
6,6,0.13908088,1
2,2,0.11539372,1
5,5,1.623168562,1
8,8,0.171374838,1
5,5,0.723561326,1
4,4,1.351417025,1
6,6,0.108433613,1
8,8,0.005370316,1
9,9,0.052081232,1
9,9,0.004563046,1
1,1,0.07073543,1
1,0,0.832584322,0
2,2,0.007034877,1
6,2,1.072857565,0
4,7,2.125684045,0
6,3,2.052914972,0
2,2,1.059541524,1
8,8,0.942635047,1
0,0,0.039152319,1
9,9,0.007356166,1
5,5,0.562043097,1
8,8,0.001668708,1
1,1,0.142286818,1
9,9,0.019310529,1
4,4,1.006695214,1
1,1,0.047217761,1
8,3,1.900972447,0
8,8,1.665800729,1
1,1,0.010021061,1
2,4,2.05233215,0
7,7,0.208689735,1
9,9,0.050855055,1
4,4,2.258112041,1
2,2,0.004302958,1
7,7,0.125752906,1
9,0,2.748606149,0
7,7,1.392614525,1
2,0,2.161014807,0
6,6,0.037564071,1
6,6,0.04669309,1
1,9,0.279290308,0
0,0,0.220097913,1
1,9,0.025268381,0
6,2,1.914909723,0
0,8,0.348842786,0
7,7,0.267470115,1
2,2,0.598321745,1
5,2,1.463784696,0
5,5,1.162467568,1
1,1,0.000235625,1
2,2,0.379281281,1
6,6,0.868453785,1
2,2,0.872911234,1
9,9,1.117295243,1
6,6,0.06189271,1
5,2,1.802290101,0
3,3,0.201814607,1
0,0,0.712569706,1
9,3,1.584730427,0
9,9,0.208158773,1
1,8,0.658679133,0
7,7,0.138969064,1
8,8,0.946109074,1
8,8,0.020875852,1
6,4,1.687610183,0
0,0,0.013487446,1
1,1,0.250018083,1
8,8,0.072493456,1
2,2,0.582001529,1
7,7,1.030961683,1
1,9,1.283284324,0
3,3,2.210063403,1
6,6,0.425720022,1
1,1,0.015132265,1
9,9,2.81E-05,1
6,0,1.735315854,0
2,7,0.978694391,0
2,3,1.986779584,0
2,7,1.913450085,0
2,4,1.610675298,0
5,5,1.513128448,1
8,0,1.012975499,0
0,0,1.643743585,1
2,2,0.20542199,1
9,9,0.01680783,1
6,3,1.905447063,0
4,4,2.365110685,1
6,0,1.37547725,0
6,6,1.168834544,1
6,2,2.115127994,0
5,5,1.066556271,1
3,3,0.357326808,1
3,7,2.606415015,0
3,3,1.855235518,1
7,7,0.081765836,1
6,2,1.381860622,0
2,5,1.523770415,0
3,3,0.387885185,1
9,1,0.511256661,0
1,1,0.002341031,1
2,4,1.380553117,0
9,9,0.000102385,1
9,9,0.034925111,1
5,5,1.419711183,1
7,7,0.644074674,1
3,5,1.89558192,0
0,0,0.96591027,1
2,2,1.213173731,1
2,2,0.25377685,1
2,2,2.697381761,1
1,9,1.172459259,0
7,7,1.944230037,1
3,3,1.166356737,1
9,9,0.109622103,1
2,4,1.21948985,0
6,3,2.062829781,0
7,5,1.269961835,0
3,4,1.917414521,0
0,6,2.126903167,0
5,5,0.356456376,1
6,6,0.311827745,1
1,1,0.11042604,1
5,4,2.362631134,0
3,3,1.547340872,1
4,4,0.833711518,1
7,4,1.007351965,0
3,3,0.519092625,1
7,7,1.51420477,1
8,8,0.035677146,1
2,3,2.068471488,0
7,7,1.066580405,1
8,8,0.001978349,1
8,0,1.00613793,0
3,5,1.660660654,0
7,7,0.048393812,1
6,6,1.105216973,1
0,0,1.850723241,1
2,5,0.994154111,0
4,4,1.784573601,1
8,8,1.571778902,1
6,6,0.011735336,1
8,8,0.019942428,1
3,5,1.439305113,0
5,5,1.602105969,1
9,9,0.678035369,1
9,9,0.000735609,1
9,9,4.72E-05,1
3,5,1.974715461,0
0,0,0.056999808,1
1,1,0.000600765,1
1,0,2.258352593,0
8,8,1.329501109,1
1,1,0.008409812,1
1,1,0.006831861,1
8,8,0.047382095,1
0,0,0.888003291,1
2,2,0.10460349,1
2,2,0.117340817,1
0,0,1.151375908,1
6,4,1.363907982,0
6,6,0.440714834,1
5,5,1.127356127,1
4,4,2.266257938,1
9,9,0.107777386,1
4,4,2.199890452,1
7,7,2.055139438,1
9,9,0.204462544,1
9,9,1.604999923,1
4,4,0.373558017,1
5,5,0.522524814,1
6,6,0.004911601,1
6,6,0.013517527,1
1,1,0.233983589,1
5,5,0.451161801,1
6,3,1.49324604,0
8,8,0.000551743,1
9,9,0.032845995,1
5,5,1.323830127,1
8,8,0.330713948,1
5,5,0.24143914,1
7,7,0.025841746,1
0,0,0.490893817,1
7,7,0.011247313,1
0,0,0.688753943,1
3,5,1.722586198,0
7,0,2.517276731,0
0,0,0.028291929,1
4,4,1.428335482,1
6,6,0.364605297,1
9,9,0.007016162,1
3,0,1.819208273,0
9,9,0.731465833,1
5,5,1.294447342,1
2,6,1.003074831,0
6,6,0.01358307,1
6,6,0.181162002,1
6,2,1.040736138,0
9,9,2.361507501,1
1,0,1.144224379,0
1,1,0.071847294,1
7,7,0.188786296,1
6,6,1.098071831,1
7,7,0.055414261,1
5,5,0.034407588,1
9,9,0.00044523,1
1,1,0.003138523,1
6,6,0.036984158,1
2,2,1.200877639,1
5,5,1.07439085,1
5,5,1.679098329,1
3,5,2.04705036,0
8,8,0.036459802,1
3,5,0.917320181,0
9,9,0.001231958,1
4,4,0.564632901,1
6,6,0.92489711,1
4,4,1.544399065,1
3,3,0.3874296,1
2,2,0.01568762,1
0,0,0.068785332,1
7,7,0.008660777,1
6,6,0.850187559,1
2,2,1.019505611,1
2,2,1.381326639,1
3,3,1.360449676,1
9,9,0.037709492,1
7,7,1.893037719,1
9,9,1.406941442,1
6,2,1.349965293,0
2,6,0.913769877,0
7,7,0.311187691,1
1,1,0.036414403,1
3,3,1.560719699,1
6,6,0.665366365,1
6,6,0.191545936,1
8,8,0.001413632,1
8,9,1.190227527,0
7,7,0.017148201,1
5,5,0.376181775,1
4,4,1.190902441,1
0,0,0.051929874,1
8,8,0.005276958,1
4,4,3.098446131,1
0,0,0.19206279,1
9,9,0.520484629,1
3,3,1.46468805,1
6,4,1.922846457,0
8,8,0.090445344,1
9,9,0.002490252,1
6,6,0.145157315,1
9,9,0.102032446,1
2,2,0.015900421,1
6,6,0.1450374,1
1,1,0.063726061,1
4,4,1.091806422,1
7,7,0.000291687,1
3,3,2.66003503,1
3,5,1.678005715,0
3,3,0.421253263,1
8,8,0.689637914,1
5,5,0.550668029,1
0,0,0.411915114,1
2,2,0.047210437,1
1,1,1.24E-08,1
6,6,0.010665568,1
3,4,2.020060769,0
5,3,1.764101644,0
3,3,0.869771613,1
9,9,0.000141344,1
6,6,0.030680698,1
1,9,1.010712016,0
8,8,1.025273437,1
8,8,0.001459982,1
5,5,0.35978952,1
8,8,0.283115135,1
6,6,0.749036061,1
6,6,0.528165462,1
2,2,1.34655477,1
1,1,0.000284645,1
2,7,1.021463462,0
1,7,0.535848955,0
1,1,0.027962078,1
5,2,2.413918453,0
7,7,0.065088961,1
9,9,0.178110633,1
1,9,0.334034657,0
4,4,1.228546269,1
7,4,0.82785141,0
1,1,0.376280447,1
2,2,1.090289416,1
5,5,1.358325292,1
6,6,0.856695053,1
8,8,1.194123444,1
7,7,0.570694163,1
6,6,0.434996279,1
8,8,0.814712394,1
3,3,2.642093036,1
0,0,1.146321057,1
5,5,1.861084517,1
5,5,1.196060091,1
6,3,0.24670063,0
0,0,0.872126649,1
7,7,0.001259799,1
9,9,1.24623377,1
1,1,0.809888449,1
3,3,1.30708328,1
4,4,1.047690976,1
7,4,1.549161664,0
5,5,0.31832959,1
3,3,0.045249947,1
9,9,0.709024289,1
5,5,1.159843062,1
6,6,2.250081085,1
9,9,1.060950227,1
2,2,1.472898158,1
1,1,0.000184285,1
1,1,0.225657656,1
6,4,1.464167132,0
1,1,0.004798511,1
9,9,0.075180134,1
4,4,1.214687841,1
7,7,0.00035872,1
6,6,0.396483425,1
3,3,0.140099363,1
0,8,1.321628425,0
9,9,0.403340647,1
0,0,0.679544056,1
1,1,0.027453498,1
3,3,1.794230273,1
6,6,0.011633695,1
7,3,1.658520876,0
2,6,1.885632424,0
3,3,0.268549651,1
2,2,1.659644635,1
0,0,0.518868842,1
6,3,0.842490444,0
1,1,0.617202518,1
1,0,1.71583398,0
3,5,1.121921203,0
1,9,0.789300181,0
6,6,0.026091006,1
7,4,1.244499329,0
0,8,0.009465818,0
9,9,0.088520911,1
6,6,1.002408219,1
9,9,0.179969298,1
6,6,2.233084213,1
3,3,1.350967764,1
6,0,1.323435374,0
3,3,1.808040525,1
2,2,0.025425686,1
2,2,0.370324971,1
7,7,0.218213299,1
8,8,0.027172731,1
3,3,1.260796597,1
0,8,1.864580117,0
2,2,0.625788368,1
7,7,0.142404335,1
5,5,1.124420964,1
7,7,1.808410733,1
0,2,0.932027283,0
4,4,1.307824611,1
8,8,1.775710301,1
7,7,0.777981151,1
4,4,1.830255534,1
2,2,0.560122817,1
9,9,0.41872819,1
8,8,1.586063681,1
8,8,0.211960722,1
6,6,0.502134165,1
0,8,1.246606688,0
8,8,0.104349616,1
7,7,0.961708457,1
3,4,2.031577137,0
6,3,1.803993022,0
3,3,0.691769889,1
8,8,0.907641468,1
4,4,0.774642173,1
9,9,0.04784733,1
7,4,0.27971183,0
8,8,0.259983525,1
8,8,0.003182855,1
1,1,0.07105729,1
8,8,0.146850139,1
8,2,1.547417635,0
1,1,0.009552197,1
2,3,1.960404551,0
6,6,1.026485883,1
5,5,0.923883965,1
7,4,0.789446664,0
2,2,0.825785005,1
7,7,0.004583858,1
9,9,0.002934759,1
1,9,0.087910892,0
2,4,1.897762596,0
1,1,0.551684121,1
2,4,1.31815724,0
1,1,0.023576279,1
5,3,1.517924055,0
2,2,1.430672954,1
7,7,0.014110527,1
0,0,0.100211095,1
7,7,0.017501577,1
9,9,2.276546028,1
7,7,0.206867732,1
6,6,1.535600713,1
6,6,0.076116913,1
2,2,0.034622921,1
3,5,0.204354728,0
9,9,0.00539096,1
0,2,1.241103884,0
9,9,0.866939194,1
1,1,0.020254563,1
2,2,0.296880904,1
2,2,0.69177797,1
6,6,0.249749994,1
8,8,0.00693026,1
2,2,0.206350474,1
1,1,0.000335189,1
3,3,1.071411984,1
6,6,1.23772305,1
6,6,0.447942943,1
0,0,0.08601578,1
1,1,0.002280332,1
2,2,0.154498324,1
0,7,2.327291665,0
9,0,0.608475601,0
5,5,1.605319275,1
4,4,2.066545167,1
0,6,1.619311405,0
9,1,1.046918157,0
6,6,0.034991868,1
6,4,1.638664162,0
0,0,1.220469523,1
2,2,1.611802421,1
2,2,1.958356301,1
6,6,0.022097068,1
0,0,0.211975824,1
6,5,0.358698707,0
9,9,0.01456341,1
1,1,0.002869354,1
7,7,0.436036938,1
6,6,0.161094565,1
7,7,1.269658813,1
0,0,1.589025736,1
3,3,0.54821864,1
9,9,0.821921145,1
6,6,1.69912248,1
8,8,0.060292172,1
0,3,0.621916829,0
0,0,0.31175031,1
3,3,2.206018832,1
5,4,1.017358586,0
7,7,0.425070901,1
7,7,0.132113339,1
1,1,1.289420488,1
3,4,1.855832233,0
2,7,0.80489528,0
6,2,0.729956346,0
7,7,0.000207014,1
1,1,0.000233557,1
2,4,0.077347153,0
7,7,0.001889195,1
4,4,1.622167623,1
4,4,2.433408794,1
8,8,0.234529359,1
4,4,1.593825829,1
7,7,1.451750168,1
7,7,2.580893455,1
5,5,1.672424502,1
2,3,1.149687773,0
7,7,0.052593616,1
2,2,0.028544842,1
9,0,1.068783284,0
8,8,0.296609672,1
9,9,0.0248817,1
3,5,2.051294135,0
1,8,1.300181271,0
2,3,2.587036906,0
6,6,1.365214716,1
7,2,1.720099001,0
0,0,1.11294794,1
8,8,0.142145935,1
7,7,0.000318918,1
3,3,2.043240607,1
7,7,0.59013893,1
6,6,0.034623388,1
5,5,1.691383031,1
3,3,1.477155103,1
1,1,0.003485019,1
6,3,0.810254306,0
2,2,0.080264062,1
3,2,0.81898443,0
5,5,0.982178505,1
3,4,2.266650261,0
1,1,0.521707829,1
2,2,1.527276888,1
0,9,1.997620097,0
2,2,0.01411543,1
7,7,0.010699951,1
0,0,0.778785767,1
7,7,0.011755535,1
2,2,0.487539096,1
1,1,0.175230168,1
2,3,1.691183712,0
2,2,0.549988833,1
0,0,0.207378723,1
2,2,0.389795463,1
4,4,1.375345177,1
5,7,1.987630004,0
1,9,0.594358294,0
8,8,0.726607086,1
1,9,0.011004223,0
0,0,0.579092813,1
7,7,1.647058811,1
7,7,1.04486313,1
0,0,1.020778989,1
7,7,0.004766786,1
8,8,0.226333036,1
4,4,0.238767377,1
6,6,0.15450695,1
6,3,1.354701683,0
3,3,0.634397902,1
0,0,0.089728202,1
1,1,0.002732398,1
1,3,0.756339398,0
5,7,2.1475226,0
0,0,0.937956117,1
1,1,1.157542865,1
3,3,1.597262763,1
1,1,6.41E-07,1
4,4,2.037628832,1
2,2,0.230188253,1
3,3,0.077584375,1
8,8,0.771450058,1
4,4,1.113194162,1
2,2,0.24528989,1
2,3,2.30455638,0
7,7,0.044469882,1
8,8,0.061207579,1
6,4,2.23195705,0
1,3,1.699895053,0
8,0,1.784569228,0
1,9,1.105382773,0
0,0,1.857980414,1
0,0,1.216680315,1
1,1,0.359091882,1
8,0,1.304885196,0
6,4,1.078457341,0
4,4,2.35171669,1
6,6,0.013987308,1
3,7,1.9183946,0
3,6,2.02700765,0
1,1,0.000106394,1
1,1,0.048621857,1
3,3,0.585031873,1
7,7,0.067019679,1
3,3,2.123358928,1
5,5,0.513319254,1
6,2,1.942140352,0
6,6,0.931091074,1
6,6,0.038023568,1
5,5,0.710244728,1
2,8,1.532581987,0
7,7,0.968283778,1
1,1,0.00022683,1
6,6,0.886634004,1
8,8,0.366594584,1
8,8,0.002161264,1
6,5,1.130875696,0
3,3,0.376681049,1
3,0,2.142496201,0
4,4,2.067676347,1
0,0,0.473014421,1
1,1,0.000162389,1
3,3,1.964688658,1
8,8,0.424515587,1
8,8,0.13568648,1
0,0,0.444309679,1
6,6,1.108268809,1
9,9,3.76E-05,1
9,9,1.5319334,1
9,9,1.719815895,1
0,5,1.668604752,0
3,5,1.237701638,0
8,8,1.114324482,1
6,6,1.486938164,1
0,0,0.688688839,1
8,0,0.871560221,0
4,4,0.408359747,1
2,2,0.159808403,1
3,3,2.561708555,1
3,2,1.898355285,0
7,7,3.19E-05,1
2,2,1.6103952,1
2,2,0.06057983,1
3,5,2.363092481,0
9,9,0.771493323,1
8,8,0.074235434,1
9,9,0.003864027,1
1,1,0.702108244,1
7,7,0.168616578,1
6,4,1.122770128,0
0,0,0.453421904,1
3,3,0.902403495,1
0,0,0.305803881,1
1,1,0.004480493,1
3,3,1.170728038,1
8,8,0.00256881,1
3,3,0.466296325,1
9,9,0.000673215,1
6,6,0.69697629,1
8,1,1.649858886,0
6,4,1.544660232,0
7,7,0.000456362,1
0,0,1.360291331,1
6,3,1.435492912,0
7,7,0.009857882,1
8,8,1.03358344,1
9,9,0.062010493,1
1,1,0.033138687,1
1,1,0.02820677,1
6,6,0.071706865,1
6,6,0.625955217,1
6,6,0.464799909,1
6,6,0.655709701,1
9,9,0.563311952,1
1,1,0.003761651,1
9,9,0.03897842,1
9,9,0.005486809,1
4,4,1.468774255,1
6,2,0.705499389,0
1,1,0.00530747,1
2,7,2.160154918,0
0,0,0.003533933,1
6,6,0.727414404,1
8,8,0.004190142,1
1,1,0.159791698,1
9,9,0.478760657,1
2,2,0.634254718,1
9,9,0.17308891,1
5,0,2.187379275,0
4,4,1.278747496,1
7,7,0.028234786,1
8,8,0.022033421,1
3,3,1.127998561,1
1,1,1.92E-05,1
1,2,2.327791484,0
0,0,0.202599412,1
1,1,0.00047452,1
7,5,1.647201283,0
8,8,0.019369182,1
7,4,1.368453929,0
6,6,0.668040885,1
3,3,1.141975095,1
8,8,1.109716509,1
9,1,0.617077827,0
3,3,0.775052245,1
8,8,0.089188987,1
5,5,0.198566517,1
0,0,1.033686256,1
1,8,1.035826087,0
4,4,0.159128634,1
8,8,0.072597218,1
1,1,0.037235658,1
1,1,0.00252504,1
1,8,1.38835272,0
9,9,0.907825522,1
6,6,0.255088878,1
0,0,0.072500214,1
8,8,0.008437765,1
6,6,1.763415017,1
1,1,0.000331532,1
3,3,0.195612704,1
4,4,0.412599672,1
1,1,0.216478124,1
6,6,0.016486842,1
0,0,0.83725977,1
3,5,0.822385938,0
1,1,0.00020393,1
1,1,0.016914573,1
0,0,0.062371474,1
0,0,0.802609358,1
3,3,0.964321992,1
5,5,0.312987127,1
0,0,0.399269579,1
0,0,0.091372708,1
6,6,0.713219747,1
6,6,0.230735579,1
3,3,0.053588612,1
3,3,0.519427236,1
6,6,0.61650866,1
3,3,1.144525935,1
3,6,1.504274888,0
6,6,1.749300964,1
0,0,0.774288958,1
7,7,0.00073263,1
2,2,0.393428344,1
2,2,1.291297527,1
5,7,1.887234997,0
5,5,0.045677527,1
2,5,2.702710992,0
4,2,1.616457956,0
8,8,0.593635314,1
5,5,1.815863581,1
2,2,0.289233419,1
1,1,0.053447234,1
1,1,0.037657018,1
1,4,2.219616948,0
0,3,1.2477792,0
6,2,1.072111221,0
0,0,0.073765407,1
5,3,1.424110183,0
1,1,0.023567164,1
5,5,0.432091188,1
5,3,1.546827302,0
7,7,2.341630933,1
6,6,1.734367519,1
8,8,0.057773335,1
9,9,0.00118298,1
1,1,0.818477455,1
6,6,1.792020352,1
4,4,2.258666502,1
9,9,0.187181871,1
3,3,1.380420952,1
9,9,0.800222125,1
0,0,0.761902651,1
9,9,0.00196813,1
6,6,0.157665145,1
3,3,0.581696035,1
6,6,0.006608472,1
0,0,0.970645773,1
7,7,0.004185972,1
2,3,1.603929296,0
1,8,1.419489179,0
0,0,0.074396536,1
0,0,0.004963657,1
8,0,1.065810815,0
6,6,0.010882204,1
1,6,0.337900347,0
6,6,0.203952059,1
9,9,0.046618186,1
2,2,0.813179294,1
3,5,1.375597751,0
4,4,1.078636213,1
7,4,0.714482494,0
6,6,0.125292725,1
3,3,1.782771639,1
6,6,0.797851077,1
0,0,1.053230425,1
8,8,0.02846885,1
6,6,0.484071404,1
0,0,0.675451235,1
6,6,2.198094817,1
6,2,1.003015619,0
7,7,0.024751029,1
5,5,0.105406057,1
1,1,0.019487803,1
2,2,0.084474547,1
8,7,2.645852273,0
8,8,0.116847474,1
8,8,0.063171068,1
0,0,1.599602428,1
9,9,0.128237331,1
3,4,1.880789084,0
9,9,0.021383628,1
9,7,1.080715617,0
2,2,0.05874362,1
1,0,0.961185455,0
2,2,0.197079369,1
8,8,0.006727938,1
2,3,2.395700648,0
8,8,0.02616467,1
9,9,0.002802511,1
1,1,0.000480647,1
3,5,0.606462855,0
3,5,0.874963579,0
7,4,0.656052335,0
7,7,0.000331396,1
2,5,1.429578315,0
3,3,0.876804664,1
8,8,0.700768656,1
3,3,0.309375623,1
2,3,1.460468433,0
6,6,0.674854971,1
0,2,1.024718143,0
8,8,0.022760302,1
7,4,1.093082555,0
2,3,1.854125289,0
9,7,0.910912169,0
9,1,0.071895196,0
2,2,0.927583124,1
4,4,2.058681045,1
1,1,0.894182481,1
6,6,0.388002277,1
9,9,0.005107838,1
0,0,1.967240817,1
2,5,2.792182744,0
8,8,0.899920784,1
6,6,0.634672847,1
1,1,0.081288138,1
8,8,0.021951338,1
6,6,0.013749722,1
1,1,0.101827546,1
6,4,1.241359053,0
2,2,1.205584738,1
6,6,2.283794624,1
2,2,0.098174929,1
7,7,1.160634864,1
2,2,2.348770197,1
2,2,0.396548848,1
0,0,0.036578526,1
8,8,0.56926311,1
6,6,0.259558519,1
9,9,0.017989994,1
1,1,0.047659295,1
0,7,1.572716232,0
1,1,0.003453974,1
8,8,1.403168633,1
8,8,0.699018202,1
