,0,1,2,3
185,8,8,8,8
186,6,6,6,6
187,3,3,3,3
188,4,4,4,4
189,0,0,0,0
190,5,5,5,5
191,8,8,8,8
192,0,0,0,0
193,1,1,1,1
194,7,7,7,7
195,2,2,2,2
196,8,8,8,8
197,8,8,8,8
198,7,7,7,7
199,8,8,8,8
200,5,5,5,5
201,1,1,1,1
202,8,8,8,8
203,7,7,7,7
204,1,1,1,1
205,3,3,3,3
206,0,0,0,0
207,5,5,5,5
208,7,7,7,7
209,9,9,9,9
210,7,7,7,7
211,4,4,4,4
212,5,5,5,5
213,9,9,9,9
214,8,8,8,8
215,0,0,0,0
216,7,7,7,7
217,9,9,9,9
218,8,8,8,8
219,2,2,2,2
220,7,7,7,7
221,6,6,6,6
222,9,9,9,9
223,4,4,4,4
224,3,3,3,3
225,9,9,9,9
226,6,6,6,6
227,4,4,4,4
228,7,7,7,7
229,6,6,6,6
230,5,5,5,5
231,1,1,1,1
232,5,5,5,5
233,8,8,8,8
234,8,8,8,8
235,0,0,0,0
236,4,4,4,4
237,0,0,0,0
238,5,5,5,5
239,5,5,5,5
240,1,1,1,1
241,1,1,1,1
242,8,8,8,8
243,9,9,9,9
244,0,0,0,0
245,3,3,3,3
246,1,1,1,1
247,9,9,9,9
248,2,2,2,2
249,2,2,2,2
250,5,5,5,5
251,3,3,3,3
252,9,9,9,9
253,9,9,9,9
254,4,4,4,4
255,0,0,0,0
256,3,3,3,3
257,0,0,0,0
258,0,0,0,0
259,9,9,9,9
260,8,8,8,8
261,1,1,1,1
262,5,5,5,5
263,7,7,7,7
264,0,0,0,0
265,8,8,8,8
266,2,2,2,2
267,4,4,4,4
268,7,7,7,7
269,0,0,0,0
270,2,2,2,2
271,3,3,3,3
272,6,6,6,6
273,3,3,3,3
274,8,8,8,8
275,5,5,5,5
276,0,0,0,0
277,3,3,3,3
278,4,4,4,4
279,3,3,3,3
280,9,9,9,9
281,0,0,0,0
282,6,6,6,6
283,1,1,1,1
284,0,0,0,0
285,9,9,9,9
286,1,1,1,1
287,0,0,0,0
288,7,7,7,7
289,9,9,9,9
290,1,1,1,1
291,2,2,2,2
292,6,6,6,6
293,9,9,9,9
294,3,3,3,3
295,4,4,4,4
296,6,6,6,6
297,0,0,0,0
298,0,0,0,0
299,6,6,6,6
300,6,6,6,6
301,6,6,6,6
302,3,3,3,3
303,2,2,2,2
304,6,6,6,6
305,1,1,1,1
306,8,8,8,8
307,2,2,2,2
308,1,1,1,1
309,6,6,6,6
310,8,8,8,8
311,6,6,6,6
312,8,8,8,8
313,0,0,0,0
314,4,4,4,4
315,0,0,0,0
316,7,7,7,7
317,7,7,7,7
318,5,5,5,5
319,5,5,5,5
320,3,3,3,3
321,5,5,5,5
322,2,2,2,2
323,3,3,3,3
324,4,4,4,4
325,1,1,1,1
326,7,7,7,7
327,5,5,5,5
328,4,4,4,4
329,6,6,6,6
330,1,1,1,1
331,9,9,9,9
332,3,3,3,3
333,6,6,6,6
334,6,6,6,6
335,9,9,9,9
336,3,3,3,3
337,8,8,8,8
338,0,0,0,0
339,7,7,7,7
340,2,2,2,2
341,6,6,6,6
342,2,2,2,2
343,5,5,5,5
344,8,8,8,8
345,5,5,5,5
346,4,4,4,4
347,6,6,6,6
348,8,8,8,8
349,9,9,9,9
350,9,9,9,9
351,1,1,1,1
352,0,0,0,0
353,2,2,2,2
354,2,2,2,2
355,7,7,7,7
356,3,3,3,3
357,2,2,2,2
358,8,8,8,8
359,0,0,0,0
360,9,9,9,9
361,5,5,5,5
362,8,8,8,8
363,1,1,1,1
364,9,9,9,9
365,4,4,4,4
366,1,1,1,1
367,3,3,3,3
368,8,8,8,8
369,1,1,1,1
370,4,4,4,4
371,7,7,7,7
372,9,9,9,9
373,4,4,4,4
374,2,2,2,2
375,7,7,7,7
376,0,0,0,0
377,7,7,7,7
378,0,0,0,0
379,6,6,6,6
380,6,6,6,6
381,9,9,9,9
382,0,0,0,0
383,9,9,9,9
384,2,2,2,2
385,8,8,8,8
386,7,7,7,7
387,2,2,2,2
388,2,2,2,2
389,5,5,5,5
390,1,1,1,1
391,2,2,2,2
392,6,6,6,6
393,2,2,2,2
394,9,9,9,9
395,6,6,6,6
396,2,2,2,2
397,3,3,3,3
398,0,0,0,0
399,3,3,3,3
400,9,9,9,9
401,8,8,8,8
402,7,7,7,7
403,8,8,8,8
404,8,8,8,8
405,4,4,4,4
406,0,0,0,0
407,1,1,1,1
408,8,8,8,8
409,2,2,2,2
410,7,7,7,7
411,9,9,9,9
412,3,3,3,3
413,6,6,6,6
414,1,1,1,1
415,9,9,9,9
416,0,0,0,0
417,7,7,7,7
418,3,3,3,3
419,7,7,7,7
420,4,4,4,4
421,5,5,5,5
422,0,0,0,0
423,0,0,0,0
424,2,2,2,2
425,9,9,9,9
426,3,3,3,3
427,4,4,4,4
428,0,0,0,0
429,6,6,6,6
430,2,2,2,2
431,5,5,5,5
432,3,3,3,3
433,7,7,7,7
434,3,3,3,3
435,7,7,7,7
436,2,2,2,2
437,5,5,5,5
438,3,3,3,3
439,1,1,1,1
440,1,1,1,1
441,4,4,4,4
442,9,9,9,9
443,9,9,9,9
444,5,5,5,5
445,7,7,7,7
446,5,5,5,5
447,0,0,0,0
448,2,2,2,2
449,2,2,2,2
450,2,2,2,2
451,9,9,9,9
452,7,7,7,7
453,3,3,3,3
454,9,9,9,9
455,4,4,4,4
456,3,3,3,3
457,5,5,5,5
458,4,4,4,4
459,6,6,6,6
460,5,5,5,5
461,6,6,6,6
462,1,1,1,1
463,4,4,4,4
464,3,3,3,3
465,4,4,4,4
466,4,4,4,4
467,3,3,3,3
468,7,7,7,7
469,8,8,8,8
470,3,3,3,3
471,7,7,7,7
472,8,8,8,8
473,0,0,0,0
474,5,5,5,5
475,7,7,7,7
476,6,6,6,6
477,0,0,0,0
478,5,5,5,5
479,4,4,4,4
480,8,8,8,8
481,6,6,6,6
482,8,8,8,8
483,5,5,5,5
484,5,5,5,5
485,9,9,9,9
486,9,9,9,9
487,9,9,9,9
488,5,5,5,5
489,0,0,0,0
490,1,1,1,1
491,0,0,0,0
492,8,8,8,8
493,1,1,1,1
494,1,1,1,1
495,8,8,8,8
496,0,0,0,0
497,2,2,2,2
498,2,2,2,2
499,0,0,0,0
500,4,4,4,4
501,6,6,6,6
502,5,5,5,5
503,4,4,4,4
504,9,9,9,9
505,4,4,4,4
506,7,7,7,7
507,9,9,9,9
508,9,9,9,9
509,4,4,4,4
510,5,5,5,5
511,6,6,6,6
512,6,6,6,6
513,1,1,1,1
514,5,5,5,5
515,3,3,3,3
516,8,8,8,8
517,9,9,9,9
518,5,5,5,5
519,8,8,8,8
520,5,5,5,5
521,7,7,7,7
522,0,0,0,0
523,7,7,7,7
524,0,0,0,0
525,5,5,5,5
526,0,0,0,0
527,0,0,0,0
528,4,4,4,4
529,6,6,6,6
530,9,9,9,9
531,0,0,0,0
532,9,9,9,9
533,5,5,5,5
534,6,6,6,6
535,6,6,6,6
536,6,6,6,6
537,2,2,2,2
538,9,9,9,9
539,0,0,0,0
540,1,1,1,1
541,7,7,7,7
542,6,6,6,6
543,7,7,7,7
544,5,5,5,5
545,9,9,9,9
546,1,1,1,1
547,6,6,6,6
548,2,2,2,2
549,5,5,5,5
550,5,5,5,5
551,5,5,5,5
552,8,8,8,8
553,5,5,5,5
554,9,9,9,9
555,4,4,4,4
556,6,6,6,6
557,4,4,4,4
558,3,3,3,3
559,2,2,2,2
560,0,0,0,0
561,7,7,7,7
562,6,6,6,6
563,2,2,2,2
564,2,2,2,2
565,3,3,3,3
566,9,9,9,9
567,7,7,7,7
568,9,9,9,9
569,2,2,2,2
570,6,6,6,6
571,7,7,7,7
572,1,1,1,1
573,3,3,3,3
574,6,6,6,6
575,6,6,6,6
576,8,8,8,8
577,9,9,9,9
578,7,7,7,7
579,5,5,5,5
580,4,4,4,4
581,0,0,0,0
582,8,8,8,8
583,4,4,4,4
584,0,0,0,0
585,9,9,9,9
586,3,3,3,3
587,4,4,4,4
588,8,8,8,8
589,9,9,9,9
590,6,6,6,6
591,9,9,9,9
592,2,2,2,2
593,6,6,6,6
594,1,1,1,1
595,4,4,4,4
596,7,7,7,7
597,3,3,3,3
598,5,5,5,5
599,3,3,3,3
600,8,8,8,8
601,5,5,5,5
602,0,0,0,0
603,2,2,2,2
604,1,1,1,1
605,6,6,6,6
606,4,4,4,4
607,3,3,3,3
608,3,3,3,3
609,9,9,9,9
610,6,6,6,6
611,9,9,9,9
612,8,8,8,8
613,8,8,8,8
614,5,5,5,5
615,8,8,8,8
616,6,6,6,6
617,6,6,6,6
618,2,2,2,2
619,1,1,1,1
620,7,7,7,7
621,7,7,7,7
622,1,1,1,1
623,2,2,2,2
624,7,7,7,7
625,9,9,9,9
626,9,9,9,9
627,4,4,4,4
628,4,4,4,4
629,1,1,1,1
630,2,2,2,2
631,5,5,5,5
632,6,6,6,6
633,8,8,8,8
634,7,7,7,7
635,6,6,6,6
636,8,8,8,8
637,3,3,3,3
638,0,0,0,0
639,5,5,5,5
640,5,5,5,5
641,3,3,3,3
642,0,0,0,0
643,7,7,7,7
644,9,9,9,9
645,1,1,1,1
646,3,3,3,3
647,4,4,4,4
648,4,4,4,4
649,5,5,5,5
650,3,3,3,3
651,9,9,9,9
652,5,5,5,5
653,6,6,6,6
654,9,9,9,9
655,2,2,2,2
656,1,1,1,1
657,1,1,1,1
658,4,4,4,4
659,1,1,1,1
660,9,9,9,9
661,4,4,4,4
662,7,7,7,7
663,6,6,6,6
664,3,3,3,3
665,8,8,8,8
666,9,9,9,9
667,0,0,0,0
668,1,1,1,1
669,3,3,3,3
670,6,6,6,6
671,3,3,3,3
672,6,6,6,6
673,3,3,3,3
674,2,2,2,2
675,0,0,0,0
676,3,3,3,3
677,1,1,1,1
678,0,0,0,0
679,5,5,5,5
680,9,9,9,9
681,6,6,6,6
682,4,4,4,4
683,8,8,8,8
684,9,9,9,9
685,6,6,6,6
686,9,9,9,9
687,6,6,6,6
688,3,3,3,3
689,0,0,0,0
690,3,3,3,3
691,2,2,2,2
692,2,2,2,2
693,7,7,7,7
694,8,8,8,8
695,3,3,3,3
696,8,8,8,8
697,2,2,2,2
698,7,7,7,7
699,5,5,5,5
700,7,7,7,7
701,2,2,2,2
702,4,4,4,4
703,8,8,8,8
704,7,7,7,7
705,4,4,4,4
706,2,2,2,2
707,9,9,9,9
708,8,8,8,8
709,8,8,8,8
710,6,6,6,6
711,8,8,8,8
712,8,8,8,8
713,7,7,7,7
714,4,4,4,4
715,3,3,3,3
716,3,3,3,3
717,8,8,8,8
718,4,4,4,4
719,9,9,9,9
720,4,4,4,4
721,8,8,8,8
722,8,8,8,8
723,1,1,1,1
724,8,8,8,8
725,2,2,2,2
726,1,1,1,1
727,3,3,3,3
728,6,6,6,6
729,5,5,5,5
730,4,4,4,4
731,2,2,2,2
732,7,7,7,7
733,9,9,9,9
734,9,9,9,9
735,4,4,4,4
736,1,1,1,1
737,4,4,4,4
738,1,1,1,1
739,3,3,3,3
740,2,2,2,2
741,7,7,7,7
742,0,0,0,0
743,7,7,7,7
744,9,9,9,9
745,7,7,7,7
746,6,6,6,6
747,6,6,6,6
748,2,2,2,2
749,5,5,5,5
750,9,9,9,9
751,2,2,2,2
752,9,9,9,9
753,1,1,1,1
754,2,2,2,2
755,2,2,2,2
756,6,6,6,6
757,8,8,8,8
758,2,2,2,2
759,1,1,1,1
760,3,3,3,3
761,6,6,6,6
762,6,6,6,6
763,0,0,0,0
764,1,1,1,1
765,2,2,2,2
766,7,7,7,7
767,0,0,0,0
768,5,5,5,5
769,4,4,4,4
770,6,6,6,6
771,1,1,1,1
772,6,6,6,6
773,4,4,4,4
774,0,0,0,0
775,2,2,2,2
776,2,2,2,2
777,6,6,6,6
778,0,0,0,0
779,5,5,5,5
780,9,9,9,9
781,1,1,1,1
782,7,7,7,7
783,6,6,6,6
784,7,7,7,7
785,0,0,0,0
786,3,3,3,3
787,9,9,9,9
788,6,6,6,6
789,8,8,8,8
790,3,3,3,3
791,0,0,0,0
792,3,3,3,3
793,4,4,4,4
794,7,7,7,7
795,7,7,7,7
796,1,1,1,1
797,4,4,4,4
798,7,7,7,7
799,2,2,2,2
800,7,7,7,7
801,1,1,1,1
802,4,4,4,4
803,7,7,7,7
804,4,4,4,4
805,4,4,4,4
806,8,8,8,8
807,4,4,4,4
808,7,7,7,7
809,7,7,7,7
810,5,5,5,5
811,3,3,3,3
812,7,7,7,7
813,2,2,2,2
814,0,0,0,0
815,8,8,8,8
816,9,9,9,9
817,5,5,5,5
818,8,8,8,8
819,3,3,3,3
820,6,6,6,6
821,2,2,2,2
822,0,0,0,0
823,8,8,8,8
824,7,7,7,7
825,3,3,3,3
826,7,7,7,7
827,6,6,6,6
828,5,5,5,5
829,3,3,3,3
830,1,1,1,1
831,3,3,3,3
832,2,2,2,2
833,2,2,2,2
834,5,5,5,5
835,4,4,4,4
836,1,1,1,1
837,2,2,2,2
838,9,9,9,9
839,2,2,2,2
840,7,7,7,7
841,0,0,0,0
842,7,7,7,7
843,2,2,2,2
844,1,1,1,1
845,3,3,3,3
846,2,2,2,2
847,0,0,0,0
848,2,2,2,2
849,4,4,4,4
850,7,7,7,7
851,9,9,9,9
852,8,8,8,8
853,9,9,9,9
854,0,0,0,0
855,7,7,7,7
856,7,7,7,7
857,0,0,0,0
858,7,7,7,7
859,8,8,8,8
860,4,4,4,4
861,6,6,6,6
862,3,3,3,3
863,3,3,3,3
864,0,0,0,0
865,1,1,1,1
866,3,3,3,3
867,7,7,7,7
868,0,0,0,0
869,1,1,1,1
870,3,3,3,3
871,1,1,1,1
872,4,4,4,4
873,2,2,2,2
874,3,3,3,3
875,8,8,8,8
876,4,4,4,4
877,2,2,2,2
878,3,3,3,3
879,7,7,7,7
880,8,8,8,8
881,4,4,4,4
882,3,3,3,3
883,0,0,0,0
884,9,9,9,9
885,0,0,0,0
886,0,0,0,0
887,1,1,1,1
888,0,0,0,0
889,4,4,4,4
890,4,4,4,4
891,6,6,6,6
892,7,7,7,7
893,6,6,6,6
894,1,1,1,1
895,1,1,1,1
896,3,3,3,3
897,7,7,7,7
898,3,3,3,3
899,5,5,5,5
900,2,2,2,2
901,6,6,6,6
902,6,6,6,6
903,5,5,5,5
904,8,8,8,8
905,7,7,7,7
906,1,1,1,1
907,6,6,6,6
908,8,8,8,8
909,8,8,8,8
910,5,5,5,5
911,3,3,3,3
912,0,0,0,0
913,4,4,4,4
914,0,0,0,0
915,1,1,1,1
916,3,3,3,3
917,8,8,8,8
918,8,8,8,8
919,0,0,0,0
920,6,6,6,6
921,9,9,9,9
922,9,9,9,9
923,9,9,9,9
924,5,5,5,5
925,5,5,5,5
926,8,8,8,8
927,6,6,6,6
928,0,0,0,0
929,0,0,0,0
930,4,4,4,4
931,2,2,2,2
932,3,3,3,3
933,2,2,2,2
934,7,7,7,7
935,2,2,2,2
936,2,2,2,2
937,5,5,5,5
938,9,9,9,9
939,8,8,8,8
940,9,9,9,9
941,1,1,1,1
942,7,7,7,7
943,4,4,4,4
944,0,0,0,0
945,3,3,3,3
946,0,0,0,0
947,1,1,1,1
948,3,3,3,3
949,8,8,8,8
950,3,3,3,3
951,9,9,9,9
952,6,6,6,6
953,1,1,1,1
954,4,4,4,4
955,7,7,7,7
956,0,0,0,0
957,3,3,3,3
958,7,7,7,7
959,8,8,8,8
960,9,9,9,9
961,1,1,1,1
962,1,1,1,1
963,6,6,6,6
964,6,6,6,6
965,6,6,6,6
966,6,6,6,6
967,9,9,9,9
968,1,1,1,1
969,9,9,9,9
970,9,9,9,9
971,4,4,4,4
972,2,2,2,2
973,1,1,1,1
974,7,7,7,7
975,0,0,0,0
976,6,6,6,6
977,8,8,8,8
978,1,1,1,1
979,9,9,9,9
980,2,2,2,2
981,9,9,9,9
982,0,0,0,0
983,4,4,4,4
984,7,7,7,7
985,8,8,8,8
986,3,3,3,3
987,1,1,1,1
988,2,2,2,2
989,0,0,0,0
990,1,1,1,1
991,5,5,5,5
992,8,8,8,8
993,4,4,4,4
994,6,6,6,6
995,3,3,3,3
996,8,8,8,8
997,1,1,1,1
998,3,3,3,3
999,8,8,8,8
